昵称,点赞数,时间,评论
舞天,0,2024/7/15 8:09,社会总要发展的，总是要有人付出代价的，比如为了补自行车胎的可以生存，我们拒绝汽车。可能吗？反对有用吗？(我没有对任何人有意见，只是阐述一个事实)
灯台,7,2024/7/14 23:45,不反对高科技，但是，反对高科技成果只为少数人折取。大多人不能享受成果 ，想想都可怕！会流血的！
力所能及,37,2024/7/16 12:24,如果萝卜被黑客攻击了就是武器，可拍
你煊哥,18,2024/7/15 17:40,我从来不打车，但是不支持无人驾驶替代广大司机。那是多少个家庭的饭碗啊
用户7170340169404,0,2024/7/15 8:06,让公务车实施全方位智能车落地，是解决减少税收消费的好办法。
阿速吉电器,39,2024/7/15 6:26,"无人汽车，无人超市，无人酒店，无人快递，无人外卖！
将来科技实现无人~~衣食住行
科技是改变生活的，什么都实现无人化，人类灭绝不远了！"
洋羊,0,2024/7/15 2:20,谁能解释一下武汉政府在做什么角色
李满华,55,2024/7/14 15:45,我看很多博主，你是一个很有良心的博主，这期我挺你，
飘萍音画,8,2024/7/21 7:40,我是湖南人，家里也没有开网约车的人，但强列反对长沙萝卜快跑上市。
蓝色月光,0,2024/7/15 9:35,作为企业公司想尽办法挣钱我觉得这很正常，唯一让我疑惑的是政府在这里面所扮演的角色以及态度！
猪u猪,9,2024/7/15 20:57,我的方向盘我谁都不相信！我的一家老小。我必须自己负责。所以我的车我自己开。
农村励志段哥,0,2024/7/14 22:13,全网，全国分析民生问题通透第一人，身为政府官员应该感到惭愧，崔磊为民说话的神[赞][赞][赞][赞][赞][赞][赞][赞][赞]
风一样的男子,0,2024/7/15 8:59,都能人工驾驶了，政府的那些机关办事单位也可以吧？
?? ?? ?? ?? ?? ?? ??,8,2024/7/16 13:03,出租车和网约车司机和家人经常来我店里消费，但是我店开七年一个百度工作人员来消费的都没有
菩提王爷,17,2024/7/14 18:39,真的同意，咱们本来就是人口大国，外卖员出租车快递员就是一个非常大的工作岗位，一旦这一岗位被取代那么多人怎么办，这可不是几百个几千个，而是几百万几千万甚至上亿的工作岗位
??小喜+??大兜=喜兜兜,0,2024/7/15 11:45,网约车司机社保医保以后都不用去交，没钱交。养家糊口也算了，没钱养。房贷车贷也不用还，没钱还。等等
图图今天在干嘛？,13,2024/7/14 21:57,国家也不能允许完全取代人工的那必定会???乱的
o3o,8,2024/7/16 11:24,我建议全国推行公交车无人驾驶[看]
皮皮三,0,2024/7/15 6:16,这样下去普通老百姓怎么生存，等生存不下去，会是什么后果，这么多部门难道没人考虑过这个问题吗？
阿林,4,2024/7/14 21:19,说一台车一天的运营成本是500元。天天都在亏本内运行各位想想为什么？
風雅颂,1,2024/8/14 22:50,一句话.无人驾驶不能用于民问！
盛世名人KTV,0,2024/7/14 23:43,百度看的根本不是萝卜快跑挣的钱，而是资本市场的东西，
san,53,2024/7/15 6:14,萝卜万一成功了，就会有其他行业的“萝卜”出现，这才是最可怕的
蜗牛3.0,7,2024/7/16 12:58,如果被黑客攻击了怎么办？
凡人,0,2024/7/16 11:53,已卸载，团结[666][666]
立正了,6,2024/7/15 1:43,尽自己一份力，努力给大企业做宣传
华丽的翡翠,0,2024/7/15 11:04,刚刚我看到一辆私家车主喝酒了，回家用私家车无人驾驶回家，结果被交警处罚，这有谁来解释一下，
科学院哲学科学部经济研究所特约研究员,30,2024/7/15 15:18,我们七零八零后都习惯了，从我们来到这个世界，除了战争没赶上。这个社会的玩法和变化多样性，我们一个都没有拉下，总结真是迷茫的一生，不知道幸福在哪里。[流泪]一方面想让你消费，另一方面又不给你挣钱机会。。神奇不神奇。。。
Tombliboos,7,2024/7/15 10:27,说得好，网约车、出租车司机大多数以三四十岁、四五十岁的中年人为主，而且从事这个行业的司机，大多数而言，没有太多的职业技能可以用来谋生，否则谁愿意每天10几个小时坐在车里谋生。这其中包含了太多的无奈，你总不能说我不够优秀，就不配活着吧？这些人的背后都是一个一个家庭，全是上有老下有小的。
蝎子,0,2024/7/14 22:55,如果不妥善安排解决好出租车网约车司机的生存问题，社会将会引发各种各样的矛盾！各大城市有可能会出现砸车事件！
用户3552432097764,12,2024/7/15 12:46,支持主播。讲的太有理
进击的爆炸头,12,2024/7/15 18:45,这不是1000多万司机，这是1000多万个家庭
岁月无声wh,0,2024/7/15 11:49,几千万司机就是几千万个家庭，一家三口人，那也快上亿了，科技进步带来的后果，就只让他们承担吗。科技进步不应该是全国共同分担吗。
青葱岁月,12,2024/7/15 10:44,只要垄断成功，哪里会有便宜的事情。
难有圆满，只道寻常,8,2024/7/15 11:57,如果一个行人被无人驾驶的汽车撞了，请问怎么处理？
贵州艾高新能源电动车有限公司,0,2024/7/15 0:33,政府会有岗位的
梅花三弄-jay,0,2024/7/15 1:51,卸载百度从我做起，团结就是力量
围魏救赵先生,17,2024/7/14 18:10,"就因为太熟悉了，所以支持全国落地萝卜！
每个人看待问题角度不一样，我从来不打车，我就看不起那些这不去，那不去，近的不去，下雨下雪天不加钱不去的出租司机，这种情况大家都经历过吧！开车时候抢道别车的还是出租司机吧！
相反我要是出租司机，我肯定也是反对的[尬笑]"
我是覃茜,0,2024/7/14 22:23,我真的考虑回去种地了，以后送得起孩子读书嘛[不看][不看][不看]
大雪球,1,2024/8/17 22:00,很多农民，地被征收了，突然没地种了，家都完了？
暖通大师,11,2024/7/15 17:30,科技的进步是一种趋势，无法阻挡，也许现在是野蛮发展期，但是最终回到该有的位置。你现在不做，就会给到别人来做，特斯拉已经箭在玄上了
悠悠转转,0,2024/8/2 17:41,"科技提高生产力才能实现中国梦????
它的存在是必然的，
控制好它的存量占比就可以啦"
大军,0,2024/8/12 23:25,支持你[赞][赞][赞][赞][赞][赞]
阳光温暖时光,0,2024/7/26 20:25,感谢百度太牛了[赞][赞]
T$Y,1,2024/7/16 17:24,无人车的出现，试问考驾照有何用（驾校估计都要垮掉。）
小二先生,7,2024/7/14 21:32,人工智能发展是趋势，但是首先该考虑的是人类的生存
记忆不堪的芒果,66,2024/7/14 22:54,说个冷知识  现在共享单车4块钱一个小时 共享充电宝6块钱一个小时
白日梦游  ??,0,2024/7/15 2:30,疫情过后让我明白这个社会一环扣一环。一环不行环环受影响，网约车司机出租车司机不只是劳动者也是消费者
长路漫漫路长,18,2024/7/15 6:52,人工智能最应该发展的方向是军事国防，消防救火，医院，救灾，是排爆，是航天探月，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，而不是挤压服务业人员的生存岗位！
两只金蝴蝶,1,2024/8/3 0:00,作为一名以跑网约车养家糊口的我，谢谢崔老师说出这温暖的话，感谢[抱抱你][抱抱你]
走四方9201,0,2024/7/15 7:17,
勇哥,9,2024/7/14 20:53,讲得太好了，我们从来不反对新科技，但我们坚决反对资本利用新科技搞垄断
风,8,2024/7/15 9:11,无人驾驶汽车收集了每个城市的数据传到了国外
肉多多写作业,0,2024/7/16 9:37,萝卜是百度的，而且还有别的资本那本来就是生意，生意就要有生意场上的规则，其实这无可厚非
大象上山岭,36,2024/7/14 14:15,应该先在高端私家车或者政府公务车上使用
用户1786794336006,42,2024/7/15 10:00,突然断网、几百万车同时停在那里是何等的壮观
深度观察,0,2024/7/26 16:34,优胜劣汰 弱肉强食 自然法则
WODE多态电车,8,2024/7/14 15:30,说的没错，要体验无人驾驶技术，可以加载在每辆私人车辆，自由选择，而不是从事出租车这个行业，可以把这个技术和出租车公司合作
随薪锁欲,9,2024/7/15 20:15,科技应该造福人类，而不是干掉人类[流泪]
风继续吹rr,0,2024/7/28 15:02,技术的事情只有懂技术的人说了算。，如果无人车要落地，至于是在那种场景它就不重要，人类本就是在各种你还没有准备的情况下发生各种不确定性的。
小余哥,9,2024/7/15 12:15,不知无人驾驶车是国人研制还是外国人投入的，如果是外国人投入，那么无人驾驶车就是行动的监视器，覆盖中国每个角路，也将是一辆辆行驶的定时炸弹，为什么新颖超前的东西只有在中国推行落地实施快，难道外国就没有这种技术，没有实施的空间吗
Swallow,42,2024/7/15 7:12,很多人只看眼前利益，无人驾驶敲了出租车司机的饭碗，出租车司机会去其他岗位，他挤张三的岗位，张三来挤李四的，李四来挤你的工作岗位，不要隔岸观火，其实和每个人都息息相关
爱吃西瓜,0,2024/7/15 6:25,科技进步是全方位的，也是坚定不移的，不会随着人的意志为转移的。所以，在这个大变革里，我们能做的只能是学习学习再学习
用户1556742553766,1,2024/8/13 11:49,你说的太好了
桐城龙眠茶香,7,2024/7/15 7:46,现在大学生都找不到工作！何况一千万司机工作如何按排？
有人看着你,0,2024/8/26 17:12,资本高度垄断和权力高度垄断的人群高度重合。听起来就起一身鸡皮疙瘩
星辰大海,12,2024/7/15 8:09,可以使用无人驾驶，国家加大税收，然后补贴每一个家庭，完全可以取代!
探探,0,2024/7/30 20:23,2300年前是哪一次改革？
新爷,16,2024/7/16 22:53,"全民不打萝卜快跑！
全民不用百度软件！
磊哥好样的！[赞][赞]"
用户7440630933365吴,331,2024/7/14 13:53,说的好[赞][赞][赞]这些资本家就不知道把这些钱用到利国利民道路上来！
薇薇Vi,0,2024/8/2 8:13,不坐就好了
自娱自乐丶,10,2024/7/15 19:30,为啥没有无人驾驶公交车呀[白眼][白眼]咦为啥[白眼]，为啥没有呢[白眼]
秋秋,12,2024/7/15 9:25,大家都不坐，让萝卜快跑成为萝卜卧倒
正在加载...,0,2024/7/26 14:54,到时候就乱了
顺其自然。,7,2024/7/16 12:29,可以支持无人出租车。但是条件是所有无人出租车的所有权都归拥有出租车营业执照的人所有。这才叫为人民造福。
湛江华锋,10,2024/7/14 13:51,首先在一部分公车上使用会不会更好
菡萏香,0,2024/7/28 9:32,无人驾驶我喜欢，我这十几年的司机想来一辆[捂脸]
春暖花开??,8,2024/7/15 10:18,那些说价格便宜的人，那你看看现在的网购便宜了吗？往往都是货不对版，电商和实体的生产线都不一样的。看看现在的外卖便宜了吗？一份炒饭都要20+了，所以说不要说便宜了，那是你想多了，资本的市场不可能一直做慈善的，醒醒吧
亮化工程,31,2024/7/16 8:58,支持无人驾驶，支持中国科技的发展[赞][赞]
温润如玉,0,2024/7/15 18:16,循序渐进    科学发展观[平安果][平安果][比心][比心][比心][比心][比心]
新的一天,36,2024/7/15 10:53,今年打5次车，给T3宰了两次，我支持无人驾驶！
西门吹粪,18,2024/7/14 21:46,我是蹬三轮的，出租车抢了我的工作，我怎么办？
生之涯,1,2024/7/14 22:22,蜕变，总会有挣扎，时间的长短，在合规的情况下，由市场来决定，计划不来
游子,9,2024/7/15 6:57,1000万的司机就是1000万台车，也就是1000万个家庭，想想这个影响有多大
细细品味时光???,11,2024/7/15 10:59,后期不可能10公里3.9元
笑看人生风雨路，淡泊平和心自安！,7,2024/7/15 11:32,我就纳闷了这萝卜没有车牌号为什么能上路？
剑客,1,2024/7/15 7:50,懂的都懂
陌路相逢即是缘,34,2024/7/15 13:08,很赞成春春的这句话，有能力把萝卜快跑销望国外，搞垮国外经济那算真本事。
莉莉,92,2024/7/14 20:27,"人工智能：
       最应该发展的方向是救灾，是排爆，是航天探月，是医疗领域，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，是人类无法完成的项目才是为人类造福，而不是抢那些服务人员的生存岗位！不要为了营造自己的利益资本化，说的这么高大尚冠以【人工智能】"
祥叻叻             ╲  ╯,11,2024/7/15 11:29,我建议全部私家车都实现无人驾驶，那样也不用查酒驾了，也不用抓拍了，也不用驾校了，大家都解放不是更轻松
Layman?? (俗人),9,2024/7/16 16:47,萝卜是美国企业，占股80%
冬冬,184,2024/7/15 15:12,1千个机器人只为一个人赚钱，1千个工作岗位确能撑起1千个家庭。大家觉得我这样的理解对吗？
